Id;V0;V1;V2
0,252,798,904
1,52,868,896
2,190,1117,1478
3,476,770,1249
4,4,771,1104
5,641,883,1289
6,61,1451,1452
7,119,1221,1423
8,496,966,967
9,393,1045,1472
10,81,604,943
11,181,604,903
12,370,525,1239
13,12,607,1474
14,178,535,593
15,405,820,961
16,385,760,1097
17,271,949,951
18,285,866,1235
19,95,948,1431
20,79,453,559
21,852,960,1094
22,412,925,1320
23,422,943,1140
24,285,490,1177
25,399,894,1478
26,856,1296,1403
27,114,626,832
28,76,442,1435
29,170,526,674
30,126,933,1068
31,170,674,1178
32,190,590,1274
33,25,674,1099
34,660,843,989
35,80,417,1293
36,743,1110,1455
37,172,527,714
38,418,445,849
39,480,1114,1315
40,172,714,1428
41,338,1261,1414
42,588,1233,1386
43,159,899,1091
44,301,480,1161
45,115,569,1262
46,32,527,779
47,67,561,1010
48,805,1214,1373
49,195,1016,1196
50,353,1289,1313
51,375,984,1312
52,90,514,930
53,328,797,1413
54,276,939,1463
55,239,628,847
56,284,1033,1035
57,161,495,878
58,257,644,1480
59,77,614,1399
60,240,778,802
61,155,508,637
62,307,736,1192
63,17,503,616
64,364,911,912
65,101,728,788
66,459,1017,1108
67,147,666,1426
68,100,586,752
69,149,1207,1209
70,484,831,1037
71,77,614,981
72,302,441,1264
73,547,809,1153
74,184,452,1381
75,112,764,978
76,623,1183,1400
77,89,934,1257
78,387,808,964
79,88,596,716
80,369,1197,1355
81,353,883,1289
82,407,957,1442
83,399,1179,1454
84,328,796,797
85,235,783,1059
86,803,1380,1409
87,89,749,1155
88,165,743,1173
89,94,848,1355
90,289,802,999
91,91,488,947
92,864,969,1453
93,152,488,1019
94,249,631,780
95,90,519,731
96,265,813,817
97,304,1125,1126
98,362,767,813
99,404,715,907
100,53,729,1268
101,53,631,780
102,272,742,1284
103,377,905,1381
104,125,1009,1485
105,895,952,1348
106,186,446,597
107,394,588,1456
108,315,1037,1475
109,78,927,1172
110,123,1079,1416
111,529,782,1148
112,311,1135,1157
113,169,528,675
114,528,1138,1139
115,356,1360,1361
116,371,594,1423
117,575,1229,1443
118,227,403,789
119,171,539,634
120,264,496,553
121,143,940,1112
122,346,940,1303
123,248,872,1256
124,287,406,543
125,49,506,1164
126,197,557,956
127,262,729,1268
128,89,726,934
129,197,514,1343
130,90,731,1049
131,263,891,970
132,91,846,947
133,328,796,842
134,218,741,893
135,183,616,1276
136,93,518,968
137,15,554,568
138,166,803,1093
139,278,564,1142
140,293,564,1041
141,161,496,967
142,256,877,1181
143,98,882,1156
144,362,767,1398
145,150,357,548
146,251,467,887
147,100,1007,1008
148,102,499,769
149,49,572,973
150,241,757,835
151,440,1141,1439
152,102,867,1200
153,221,649,1109
154,242,837,921
155,609,810,1040
156,384,1090,1418
157,55,703,1318
158,128,785,1472
159,137,441,1116
160,22,486,1282
161,167,529,1148
162,340,675,1383
163,169,675,1383
164,309,1046,1062
165,241,389,746
166,71,624,1005
167,588,1233,1456
168,31,766,1215
169,181,604,1422
170,594,1221,1423
171,332,890,906
172,189,659,1090
173,44,549,993
174,123,610,910
175,405,820,1172
176,168,540,791
177,563,657,1336
178,385,771,1104
179,163,507,1279
180,486,933,1068
181,438,895,952
182,166,955,1223
183,948,971,1431
184,1086,1087,1477
185,11,1045,1086
186,255,514,930
187,394,466,1083
188,66,715,907
189,291,907,1154
190,400,1152,1454
191,131,1454,1482
192,283,1055,1242
193,216,498,1055
194,141,1229,1443
195,273,829,919
196,283,1054,1055
197,54,587,1258
198,415,431,1319
199,136,403,551
200,142,416,790
201,485,719,986
202,331,662,663
203,331,606,1217
204,301,828,1161
205,324,828,1161
206,158,1195,1350
